Book Id,Title,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Roles,Publication,Date,Review,Rating,Comment,Private Comment,Summary,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,Collections,Languages,Original Languages,LC Classification,ISBN,ISBNs,Subjects,Dewey Decimal,Dewey Wording,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
214160564,"Articulating Design Decisions: Communicate With Stakeholders, Keep Your Sanity, and Deliver the Best User Experience",1,"Greever, Tom",Autore,,,"Oreilly & Associates Inc (2020), Edition: 2, 217 pages",2020,,,,,"Articulating Design Decisions: Communicate With Stakeholders, Keep Your Sanity, and Deliver the Best User Experience by Tom Greever (2020)",Paperback,217 p.; 9 inches,0.96 pounds,9 inches,0.65 inches,6 inches,9 x 6 x 0.65 inches,217,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,QA76.H85 G74,[1492079227],"1492079227, 9781492079224",,6.7,Computing and Information > Information > Multimedia systems > Special Topics,,1,amazon.com books,[2022-03-19],,,16638234,,,,
214160571,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,1,"Knapp, Jake",Author,,,"Simon & Schuster (2016), Edition: 1, 288 pages",2016,,,,,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days by Jake Knapp (2016),Hardcover,288 p.,1.25 pounds,,,,,288,,,,,,,"bought for work, bought via CCI","Your library, Read",English,English,HD30 .K63,[0593076117],"0593076117, 9780593076118",,658.403,Decision-making And Knowledge Management > Executive > Management > Management and auxiliary services > Technology and Application of Knowledge,,1,amazon.com books,[2022-03-19],,,16989437,,,,
214160576,Figure It Out: Getting from Information to Understanding,1,"Anderson, Stephen P.",Author,,,"Two Waves Books (2020), Edition: 1, 432 pages",2020,,,,,Figure It Out: Getting from Information to Understanding by Stephen P. Anderson (2020),Paperback,432 p.; 9 inches,1.8 pounds,9 inches,0.88 inches,6 inches,9 x 6 x 0.88 inches,432,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,,[1933820969],"1933820969, 9781933820965",,153,Cognition And Memory > Philosophy and Psychology > Psychology,,1,amazon.com books,[2022-03-19],,,24687446,,,,
214160582,"Universal Principles of Design, Revised and Updated: 125 Ways to Enhance Usability, Influence Perception, Increase Appeal, Make Better Design Decisions, and Teach through Design",1,"Lidwell, William",Author,,,"Rockport Publishers (2010), Edition: 2nd Second Edition, Revised and Up ed., 272 pages",2010,,,,,"Universal Principles of Design, Revised and Updated: 125 Ways to Enhance Usability, Influence Perception, Increase Appeal, Make Better Design Decisions, and Teach through Design by William Lidwell (2010)",Paperback,272 p.; 10.25 inches,2.01943431992 pounds,10.25 inches,0.5 inches,8.8 inches,10.25 x 8.8 x 0.5 inches,272,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,NK1165 .L53,[1592535879],"1592535879, 9781592535873",Design > Dictionaries,745.403,Arts and Recreation > Decorative Arts > Dictionaries And Encyclopedias > Drawing and decorative arts > Pure And Applied,,1,amazon.com books,[2022-03-19],,,62763,,,,
214160670,Letting Go of the Words: Writing Web Content that Works (Interactive Technologies),1,"Redish, Janice (Ginny)",Author,,,"Morgan Kaufmann (2012), Edition: 2, 368 pages",2012,,,,,Letting Go of the Words: Writing Web Content that Works (Interactive Technologies) by Janice (Ginny) Redish (2012),Paperback,368 p.; 9.25 inches,1.8298367746 pounds,9.25 inches,0.87 inches,7.5 inches,9.25 x 7.5 x 0.87 inches,368,,,,,,,bought for work,"Your library, Read",English,English,TK5105 .R427,[0123859301],"0123859301, 9780123859303",Web site development|Web sites > Design,6.7,Computing and Information > Information > Multimedia systems > Special Topics,,1,amazon.com books,[2022-03-19],,,2507159,,,,
214160675,Forms that Work: Designing Web Forms for Usability (Interactive Technologies),1,"Jarrett, Caroline",Author,,,"Morgan Kaufmann (2008), Edition: 1, 199 pages",2008,,,,,Forms that Work: Designing Web Forms for Usability (Interactive Technologies) by Caroline Jarrett (2008),Paperback,199 p.; 9.25 inches,1.23017942196 pounds,9.25 inches,0.51 inches,7.5 inches,9.25 x 7.5 x 0.51 inches,199,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,TK5105.888 .J37,[0080948480],"0080948480, 9780080948485",,5,"Computer programming, programs, data, security > Computing and Information > Information",,1,amazon.com books,[2022-03-19],,,6921484,,,,
214195256,Bottlenecks: Aligning UX Design with User Psychology,1,"Evans, David C.",Author,,,"Apress (2017), Edition: 1st ed., 281 pages",2017,,,,,Bottlenecks: Aligning UX Design with User Psychology by David C. Evans (2017),Paperback,281 p.; 9.25 inches,9.55924368032 pounds,9.25 inches,0.67 inches,6.1 inches,9.25 x 6.1 x 0.67 inches,281,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,QA76.H85,[1484225791],"1484225791, 9781484225790",,5.437,"Computer programming, programs, data, security > Computing and Information > Information > Systems programming and programs > Systems programs",,1,amazon.com books,[2022-03-19],,,20467850,,,,
214308886,"Zero to One: Notes on Startups, or How to Build the Future",1,"Thiel, Peter",Author,,,"Currency (2014), Edition: Illustrated, 224 pages",2014,,,,,"Zero to One: Notes on Startups, or How to Build the Future by Peter Thiel (2014)",Hardcover,224 p.; 8.52 inches,0.8 pounds,8.52 inches,0.86 inches,5.67 inches,8.52 x 5.67 x 0.86 inches,224,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,HD62 .T525,[9780804139298],"9780804139298, 0804139296",,658.1,Management > Management and auxiliary services > Of Corporate Finance > Technology and Application of Knowledge,,1,amazon.com books,[2022-03-22],,,13943938,,,,
214308894,The Best Interface Is No Interface: The Simple Path to Brilliant Technology (Voices That Matter),5,"Krishna, Golden",Author,,,"New Riders Pub (2015), Edition: 1, 242 pages",2015,,,,,The Best Interface Is No Interface: The Simple Path to Brilliant Technology (Voices That Matter) by Golden Krishna (2015),Paperback,242 p.; 8.9 inches,0.76279942652 pounds,8.9 inches,6 inches,0.7 inches,8.9 x 0.7 x 6 inches,242,,,,,,,"bought for work, bought via CCI","Your library, Read",English,English,T14 .K75,[9780133890334],"9780133890334, 0133890333",,303.48,Causes of change > Social Processes > Social Sciences > Social change > Social sciences,,1,amazon.com books,[2022-03-22],,,15776787,,,,
214308910,Designing with the Mind in Mind: Simple Guide to Understanding User Interface Design Guidelines,1,"Johnson, Jeff",Author,,,"Morgan Kaufmann (2020), Edition: 3, 304 pages",2020,,,,,Designing with the Mind in Mind: Simple Guide to Understanding User Interface Design Guidelines by Jeff Johnson (2020),Paperback,304 p.; 9 inches,1.3448197982 pounds,9 inches,1 inch,7.5 inches,9 x 7.5 x 1 inches,304,,,,,,,"bought for work, bought via CCI","Your library, Currently reading",English,English,QA76.U83 J634,[0128182024],"0128182024, 9780128182024",,5.437,"Computer programming, programs, data, security > Computing and Information > Information > Systems programming and programs > Systems programs",,1,amazon.com books,[2022-03-22],,,9435401,,,,
214308916,100 Things Every Designer Needs to Know About People,1,"Weinschenk, Susan",Author,,,"New Riders (2020), Edition: 2, 256 pages",2020,,,,,100 Things Every Designer Needs to Know About People by Susan Weinschenk (2020),Paperback,256 p.; 9.1 inches,1.07144659332 pounds,9.1 inches,0.5 inches,6.9 inches,9.1 x 6.9 x 0.5 inches,256,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,NK1520 .W45,[0321767535],"0321767535, 9780321767530",,745.4,Arts and Recreation > Decorative Arts > Drawing and decorative arts > Pure And Applied,,1,amazon.com books,[2022-03-22],,,11079175,,,,
214308940,"Interaction Design: Beyond Human-Computer Interaction, 5th Edition",1,"Sharp, Helen",Author,,,"Wiley (2019), Edition: 5, 656 pages",2019,,,,,"Interaction Design: Beyond Human-Computer Interaction, 5th Edition by Helen Sharp (2019)",Paperback,656 p.; 9.1 inches,2.81750770836 pounds,9.098407 inches,1.200785 inches,7.40156 inches,9.098407 x 7.40156 x 1.200785 inches,656,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,QA76.H85 P72,[1119547253],"1119547253, 9781119547259",Human-computer interaction|Human-machine systems|Interactive computer systems,4.019,Computer Hardware -- Subdivisions > Computer Interaction With Humans > Computer science > Computing and Information > Information > Theory And Instruction,,1,amazon.com books,[2022-03-22],,,62755,,,,
214345958,"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers",1,"Osterwalder, Alexander",Author,,,"Wiley (2010), Edition: 1, 288 pages",2010,,,,,"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers by Alexander Osterwalder (2010)",Paperback,288 p.; 9.3 inches,1.59173753164 pounds,9.299194 inches,0.999998 inches,7.299198 inches,9.299194 x 7.299198 x 0.999998 inches,288,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,HD30.28 .O778,[9780470876411],"9780470876411, 0470876417",,658.4012,"Executive > Management > Management and auxiliary services > Planning, control, strategy > Strategy > Technology and Application of Knowledge",,1,amazon.com books,[2022-03-23],,,9819513,,,,
214345965,Observing the User Experience: A Practitioner's Guide to User Research,1,"Kuniavsky, Mike",Author,,,"Morgan Kaufmann (2012), Edition: 2nd Revised edition, 664 pages",2012,,,,,Observing the User Experience: A Practitioner's Guide to User Research by Mike Kuniavsky (2012),Paperback,664 p.; 9.27 inches,2.8990787453 pounds,9.27 inches,1 inch,7.46 inches,9.27 x 7.46 x 1 inches,664,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,QA76.H85 K86,[0123848695],"0123848695, 9780123848697",Human-computer interaction|User interfaces (Computer systems),4.019,Computer Hardware -- Subdivisions > Computer Interaction With Humans > Computer science > Computing and Information > Information > Theory And Instruction,,1,amazon.com books,[2022-03-23],,,62757,,,,
214405862,Usability Engineering,1,"Nielsen, Jakob",Author,,,"Academic Press Inc (1993), 358 pages",1993,,,,,Usability Engineering by Jakob Nielsen (1993),Hardcover,,,,,,,,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,QA76.U83 N54,[0125184050],"0125184050, 9780125184052",Computer software > Development|User interfaces (Computer systems),6,Computing and Information > Information > Special Topics,,1,amazon.com books,[2022-03-25],,,16846,,,,
214405866,"UI is Communication: How to Design Intuitive, User Centered Interfaces by Focusing on Effective Communication",1,"McKay, Everett N",Author,,,"Morgan Kaufmann (2013), Edition: 1, 378 pages",2013,,,,,"UI is Communication: How to Design Intuitive, User Centered Interfaces by Focusing on Effective Communication by Everett N McKay (2013)",Paperback,378 p.; 9.25 inches,1.6975594174 pounds,9.25 inches,0.89 inches,7.5 inches,9.25 x 7.5 x 0.89 inches,378,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,QA76.U83 M443,[0123969808],"0123969808, 9780123969804",,5.4,"Computer programming, programs, data, security > Computing and Information > Information > Systems programming and programs",,1,amazon.com books,[2022-03-25],,,14540652,,,,
214405868,About Face: The Essentials of Interaction Design,1,"Cooper, Alan",Author,,,"Wiley (2014), Edition: 4, 720 pages",2014,,,,,About Face: The Essentials of Interaction Design by Alan Cooper (2014),Paperback,720 p.; 9.2 inches,3.6155810968 pounds,9.200769 inches,1.499997 inches,7.40156 inches,9.200769 x 7.40156 x 1.499997 inches,720,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,QA76.U83 C6596,[1118766571],"1118766571, 9781118766576",Human-computer interaction|User interfaces (Computer systems),5.438,"Computer programming, programs, data, security > Computing and Information > Information > Systems programming and programs > Systems programs",,1,amazon.com books,[2022-03-25],,,3037776,,,,
214405870,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",1,"Catmull, Ed",Author,,,"Random House (2014), Edition: Illustrated, 368 pages",2014,,,,,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration by Ed Catmull (2014)",Hardcover,368 p.; 9.54 inches,1.5 pounds,9.54 inches,1.05 inches,6.35 inches,9.54 x 6.35 x 1.05 inches,368,,,,,,,"bought for work, bought via CCI","Your library, Read",English,English,HD53 .C394,[0812993012],"0812993012, 9780812993011",,658.4,Executive > Management > Management and auxiliary services > Technology and Application of Knowledge,,1,amazon.com books,[2022-03-25],,,14695076,,,,
214485068,Microinteractions: Full Color Edition: Designing with Details,1,"Saffer, Dan",Author,,,"O'Reilly Media (2013), Edition: 1, 170 pages",2013,,,,,Microinteractions: Full Color Edition: Designing with Details by Dan Saffer (2013),Paperback,170 p.; 9.19 inches,0.64815905028 pounds,9.19 inches,0.37 inches,7 inches,9.19 x 7 x 0.37 inches,170,,,,,,,"bought for work, bought via CCI","Your library, Read",English,English,QA76.U83 S24,[1491945923],"1491945923, 9781491945926",,5.3,"Computer programming, programs, data, security > Computing and Information > Information > Programs",,1,amazon.com books,[2022-03-26],,,13876923,,,,
214492979,"The Paradox of Choice: Why More Is Less, Revised Edition",5,"Schwartz, Barry",Author,,,"Ecco (2016), Edition: Revised, 304 pages",2016,,,,,"The Paradox of Choice: Why More Is Less, Revised Edition by Barry Schwartz (2016)",Paperback,304 p.; 8 inches,0.49824471212 pounds,8 inches,0.68 inches,5.31 inches,8 x 5.31 x 0.68 inches,304,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,BF611 .S38,[0062449923],"0062449923, 9780062449924",Choice (Psychology)|Decision Making|Decision making|decision making,302,Social Interaction > Social Sciences > Social sciences,,1,amazon.com books,[2022-03-26],,,43036,,,,
214648672,Designing Visual Interfaces: Communication Oriented Techniques,1,"Mullet, Kevin",Author,,,"Prentice Hall (1995), Edition: 1, 304 pages",1995,,,,,Designing Visual Interfaces: Communication Oriented Techniques by Kevin Mullet (1995),Paperback,304 p.; 9.5 inches,1.19 pounds,9.5 inches,0.5 inches,7.75 inches,9.5 x 7.75 x 0.5 inches,304,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,QA76.U83 M85,[0133033899],"0133033899, 9780133033892",Graphical user interfaces (Computer systems),5.7,"Computer programming, programs, data, security > Computing and Information > Data > Information",,1,amazon.com books,[2022-03-29],,,5737,,,,
214720718,Interaction Design for Complex Problem Solving: Developing Useful and Usable Software (Interactive Technologies),1,"Mirel, Barbara",Author,,,"Morgan Kaufmann (2003), Edition: Illustrated, 444 pages",2003,,,,,Interaction Design for Complex Problem Solving: Developing Useful and Usable Software (Interactive Technologies) by Barbara Mirel (2003),Paperback,444 p.; 9 inches,2.1384839414 pounds,9 inches,1.05 inches,7 inches,9 x 7 x 1.05 inches,444,,,,,,,"bought for work, bought via CCI","Your library, Currently reading",English,English,QA76.H85 M57,[9781558608313],"9781558608313, 1558608311",,5.1,"Computer programming, programs, data, security > Computing and Information > Information > Programming",,1,amazon.com books,[2022-03-30],,,17184,,,,
214720725,Sketching User Experiences: Getting the Design Right and the Right Design (Interactive Technologies),1,"Buxton, Bill",Author,,,"Morgan Kaufmann (2007), Edition: 1, 448 pages",2007,,,,,Sketching User Experiences: Getting the Design Right and the Right Design (Interactive Technologies) by Bill Buxton (2007),Paperback,448 p.; 9.1 inches,1.7306287567 pounds,9.1 inches,1 inch,7.4 inches,9.1 x 7.4 x 1 inches,448,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,,[0123740371],"0123740371, 9780123740373",,,,,1,amazon.com books,[2022-03-30],,,28163686,,,,
214849307,Designing Interfaces,1,"Tidwell, Jenifer",Author,,,"O'Reilly Media (2005), Edition: 1, 352 pages",2005,,,,,Designing Interfaces by Jenifer Tidwell (2005),Paperback,352 p.; 9.75 inches,1.76 pounds,9.75 inches,0.59 inches,8 inches,9.75 x 8 x 0.59 inches,352,,,,,,,"bought for work, bought via CCI","Your library, Currently reading",English,English,QA76.U83 T55,[0596008031],"0596008031, 9780596008031",Gebruikersinterfaces|Graphical user interfaces (Computer systems)|GrÃ¡ficas por computadora|Grâaficas por computadora|Human-computer interaction|InteracciÃ³n hombre-computadora|Interacciâon hombre-computadora|Interfaces con el usuario (Computadoras)|Programmatuurtechniek|User interfaces (Computer systems)|Websites,5.437,"Computer programming, programs, data, security > Computing and Information > Information > Systems programming and programs > Systems programs",,1,amazon.com books,[2022-04-01],,,630562,,,,
214902175,Just Enough Research,1,"Hall, Erika",Author,,,"A Book Apart (2013), 154 pages",2013,,,,,Just Enough Research by Erika Hall (2013),Paperback,154 p.,0.65 pounds,,,,,154,,,,,,,"bought for work, bought via CCI","Your library, Read",English,,Q180.A1 H36,[1937557103],"1937557103, 9781937557102",,1.4,Computing and Information > Information > Knowledge > Research,,1,amazon.com books,[2022-04-02],,,14280863,,,,
215001812,The Humane Interface: New Directions for Designing Interactive Systems,5,"Raskin, Jef",Author,,,"Addison-Wesley Professional (2000), 233 pages",2000,,,,,The Humane Interface: New Directions for Designing Interactive Systems by Jef Raskin (2000),Paperback,233 p.; 9.25 inches,0.91271376468 pounds,9.25 inches,0.5 inches,6.25 inches,9.25 x 6.25 x 0.5 inches,233,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,QA76.H85 R37,[0201379376],"0201379376, 9780201379372",Human-computer interaction|User interfaces (Computer systems),4.019,Computer Hardware -- Subdivisions > Computer Interaction With Humans > Computer science > Computing and Information > Information > Theory And Instruction,,1,amazon.com books,[2022-04-04],,,49801,,,,
215001821,Living with Complexity (MIT Press),1,"Norman, Donald A.",Author,,,"The MIT Press (2010), 308 pages",2010,,,,,Living with Complexity (MIT Press) by Donald A. Norman (2010),Hardcover,308 p.; 8 inches,1.10010668738 pounds,8 inches,0.75 inches,5.375 inches,8 x 5.375 x 0.75 inches,308,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,T14 .N673,[0262014866],"0262014866, 9780262014861",,601,General Technology > Philosophy and theory > Technology and Application of Knowledge,,1,amazon.com books,[2022-04-04],,,9883059,,,,
215070224,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",1,"Kleppmann, Martin",Author,,,"O'Reilly Media (2017), Edition: 1, 611 pages",2017,,,,,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems by Martin Kleppmann (2017)",Paperback,611 p.; 9.17 inches,2.15 pounds,9.17321 inches,1.2389739 inches,7.00786 inches,9.17321 x 7.00786 x 1.2389739 inches,611,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,QA76.A65,[1449373321],"1449373321, 9781449373320",,5.7,"Computer programming, programs, data, security > Computing and Information > Data > Information",,1,amazon.com books,[2022-04-06],,,15578112,,,,
215070233,"Crossing the Chasm, 3rd Edition: Marketing and Selling Disruptive Products to Mainstream Customers (Collins Business Essentials)",1,"Moore, Geoffrey A.",Author,,,"Harper Business (2014), Edition: 3, 288 pages",2014,,,,,"Crossing the Chasm, 3rd Edition: Marketing and Selling Disruptive Products to Mainstream Customers (Collins Business Essentials) by Geoffrey A. Moore (2014)",Paperback,288 p.; 8 inches,0.46 pounds,8 inches,0.65 inches,5.31 inches,8 x 5.31 x 0.65 inches,288,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,HF5439.H54 M66,[0062292986],"0062292986, 9780062292988",High technology > Marketing|High technology industries|Marketing|Selling > High technology|Selling > Technology|Technological innovations > Marketing|marketing,,,,1,amazon.com books,[2022-04-06],,,649,,,,
215070241,Docs for Developers: An Engineerâ€™s Field Guide to Technical Writing,1,"Bhatti, Jared",Author,,,"Apress (2021), Edition: 1st ed., 252 pages",2021,,,,,Docs for Developers: An Engineerâ€™s Field Guide to Technical Writing by Jared Bhatti (2021),Paperback,252 p.; 9.25 inches,0.86200744442 pounds,9.25 inches,0.57 inches,6.1 inches,9.25 x 6.1 x 0.57 inches,252,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,T11,[1484272161],"1484272161, 9781484272169",,808.0660051,By Topic > By Type Of Writing > Literature > Rhetoric and anthologies > Rhetoric and anthologies > Writing non-fiction (by topic),,1,amazon.com books,[2022-04-06],,,27217837,,,,
215070253,Card Sorting: Designing Usable Categories,1,"Spencer, Donna",Author,,,"Rosenfeld Media (2011), Edition: 1, 162 pages",2009,,,,,Card Sorting: Designing Usable Categories by Donna Spencer (2009),Paperback,162 p.; 9 inches,0.5401325419 pounds,9 inches,0.38 inches,6 inches,9 x 6 x 0.38 inches,162,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,TK5105.888,[1933820020],"1933820020, 9781933820026",,5.6,"Computer programming, programs, data, security > Computing and Information > Firmware, Microprogramming > Information",,1,amazon.com books,[2022-04-06],,,8291511,,,,
215070260,Database Reliability Engineering: Designing and Operating Resilient Database Systems,1,"Campbell, Laine",Author,,,"O'Reilly Media (2017), Edition: 1, 294 pages",2017,,,,,Database Reliability Engineering: Designing and Operating Resilient Database Systems by Laine Campbell (2017),Paperback,294 p.; 9.17 inches,1.46827866492 pounds,9.17321 inches,0.6165342 inches,7.00786 inches,9.17321 x 7.00786 x 0.6165342 inches,294,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,QA76.D3 C36365,[1491925949],"1491925949, 9781491925942",,5.7565,"Computer programming, programs, data, security > Computing and Information > Data > Information > Relational Databases > Specific Databases And Data Files",,1,amazon.com books,[2022-04-06],,,17619059,,,,
